title,mean,count
'Round Midnight (1986),3.6879194630872485,149
'Salem's Lot (2004),3.075,100
'Til There Was You (1997),2.826839826839827,462
'night Mother (1986),3.484472049689441,322
(500) Days of Summer (2009),3.781625881377022,4822
*batteries not included (1987),3.222862957937585,1474
...And Justice for All (1979),3.599129593810445,1034
1-900 (06) (1994),3.3181818181818183,99
10 (1979),2.860549132947977,692
10 Items or Less (2006),3.3293333333333335,375
10 Rillington Place (1971),3.532258064516129,124
10 Things I Hate About You (1999),3.4429466772781536,10052
"10,000 BC (2008)",2.49412148922273,1531
100 Girls (2000),3.036184210526316,304
101 Dalmatians (1996),3.0109383995394357,6948
101 Dalmatians (One Hundred and One Dalmatians) (1961),3.4388849682427662,7085
101 Reykjavik (101 ReykjavÃ­k) (2000),3.571090047393365,422
102 Dalmatians (2000),2.362055933484505,1323
"11'09\\""01 - September 11 (2002)""",3.3893805309734515,113
11:14 (2003),3.5520833333333335,576
12 Angry Men (1957),4.226051148677937,11535
12 Angry Men (1997),3.856923076923077,325
12 Rounds (2009),2.7432432432432434,185
12 Years a Slave (2013),3.8862275449101795,1002
127 Hours (2010),3.734573304157549,2285
13 (2010),3.087962962962963,108
13 Assassins (JÃ»san-nin no shikaku) (2010),3.7083333333333335,396
13 Ghosts (1960),2.820859872611465,628
13 Going on 30 (2004),3.0826056584002792,2863
13 Tzameti (2005),3.8078431372549018,255
1408 (2007),3.2716165413533833,2128
1492: Conquest of Paradise (1992),3.0661157024793386,363
15 Minutes (2001),2.9651162790697674,1548
16 Blocks (2006),3.305207026348808,1594
17 Again (2009),3.0767419962335216,1062
1776 (1972),3.4676258992805757,417
18 Again! (1988),2.4202127659574466,282
187 (One Eight Seven) (1997),2.958528951486698,639
1900 (Novecento) (1976),3.588888888888889,225
1941 (1979),2.8555900621118013,644
1969 (1988),2.6837606837606836,117
1984 (1956),3.7151741293532337,402
1984 (Nineteen Eighty-Four) (1984),3.6321395492435937,3239
2 Days in Paris (2007),3.4325481798715205,467
2 Days in the Valley (1996),3.279158040027605,2898
2 Guns (2013),3.1875,224
2 ou 3 choses que je sais d'elle (2 or 3 Things I Know About Her) (1967),3.4233333333333333,150
20 Dates (1998),2.8042291950886766,733
20 Million Miles to Earth (1957),3.2635135135135136,148
"20,000 Leagues Under the Sea (1954)",3.5611536407334876,5617
200 Cigarettes (1999),2.9003448275862067,1450
2001: A Space Odyssey (1968),3.951037503189047,23518
2010: The Year We Make Contact (1984),3.3843537414965987,3969
2012 (2009),2.7382162661737524,2164
2046 (2004),3.665511265164645,1154
21 (2008),3.4432168550873588,1946
21 Grams (2003),3.7056254367575123,5724
21 Jump Street (2012),3.5961369622475856,1139
21 Up (1977),3.9597402597402596,385
22 Bullets (L'immortel) (2010),3.311926605504587,109
22 Jump Street (2014),3.4464646464646465,495
24 Hour Party People (2002),3.605086013462977,1337
24: Redemption (2008),3.513157894736842,190
25th Hour (2002),3.8252682285964528,4567
27 Dresses (2008),3.1185479296653433,1763
28 Days (2000),3.0645631067961165,4120
28 Days Later (2002),3.7422928709055876,11418
28 Up (1985),4.025766016713092,718
28 Weeks Later (2007),3.427042508290624,3317
3 Days to Kill (2014),3.0353535353535355,99
3 Extremes (Three... Extremes) (Saam gaang yi) (2004),3.542579075425791,411
3 Idiots (2009),3.814621409921671,383
3 Ninjas (1992),2.257575757575758,957
